"Original entry";"Current entry";"Number of entries";"Level 1";"Level 2"
"ANNELIDA";"ANNELIDA";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Annelids-Oligochaetes";"Annelids-Oligochaetes";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"BRACHIOPODA";"BRACHIOPODA";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Bryophytes";"Bryophytes";;"Bryophytes";"Plants"
"BRYOZOA";"BRYOZOA";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Bryozoan";"Bryozoan";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Bryozoans";"Bryozoans";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"CNIDARIA";"CNIDARIA";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Coelenterates-Hydrozoans";"Coelenterates-Hydrozoans";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Comb jellies";"Comb jellies";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"DINOFLAGELLATA";"DINOFLAGELLATA";;"Algae";
"Echinoderm";"Echinoderm";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"ECHINODERMATA";"ECHINODERMATA";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Hydrozoan";"Hydrozoan";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Mollusc";"Mollusc";;"Molluscs";"Invertebrates"
"Platyhelminthes Cestoda";"Platyhelminthes Cestoda";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Platyhelminthes Turbellaria";"Platyhelminthes Turbellaria";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"PORIFERA";"PORIFERA";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Sponge";"Sponge";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Myxozoa";"Myxozoa";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Euglenozoa";"Euglenozoa";;"Algae";
"Kamptozoa";"Kamptozoa";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"Crustaceans-Copepods";"Crustaceans-Copepods";;"Crustaceans";"Arthropoda"
"Negarnaviricota";"Negarnaviricota";;"Viruses";"Viruses"
"Pycnogonida";"Pycnogonida";;"Arthropods p.p. (Myriapods, Diplopods etc.)";"Arthropoda"
"PYCNOGONIDA";"PYCNOGONIDA";;"Arthropods p.p. (Myriapods, Diplopods etc.)";"Arthropoda"
"Xenacoelomorpha";"Xenacoelomorpha";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
"CRUSTACEA";"CRUSTACEA";;"Crustaceans";"Arthropoda"
"Ciliophora";"Ciliophora";;"Bacteria and protozoans";"Bacteria and protozoa"
"Apicomplexa";"Apicomplexa";;"Bacteria and protozoans";"Bacteria and protozoa"
"Ascidians";"Ascidians";;"Invertebrates (excl. Arthropods, Molluscs)";"Invertebrates"
