"CountryState";"Binomial";"IntrodDate"
"AUSTRALIA Victoria";"Turdus philomelos";1856
"AUSTRALIA Victoria";"Callipepla californica";1861
"AUSTRALIA Victoria";"Cygnus olor";1853
"AUSTRALIA Victoria";"Struthio camelus";1925
"AUSTRALIA Victoria";"Pavo cristatus";1870
"AUSTRALIA Western Australia";"Anas platyrhynchos";1911
"AUSTRALIA Western Australia";"Atrichornis clamosus";1983
"AUSTRALIA Western Australia";"Cacatua galerita";1934
"AUSTRALIA Western Australia";"Carduelis carduelis";1981
"AUSTRALIA Western Australia";"Columba livia";1850
"AUSTRALIA Western Australia";"Dacelo novaeguineae";1896
"AUSTRALIA Western Australia";"Glossopsitta concinna";1975
"AUSTRALIA Western Australia";"Gymnorhina tibicen";1981
"AUSTRALIA Western Australia";"Lonchura castaneothorax";1965
"AUSTRALIA Western Australia";"Neochmia temporalis";1955
"AUSTRALIA Western Australia";"Passer domesticus";1897
"AUSTRALIA Western Australia";"Phasianus colchicus";1928
"AUSTRALIA Western Australia";"Stigmatopelia chinensis";1898
"AUSTRALIA Western Australia";"Stigmatopelia senegalensis";1898
"AUSTRALIA Western Australia";"Sturnus vulgaris";1972
"AUSTRALIA Western Australia";"Trichoglossus haematodus";1965
"AUSTRALIA Western Australia";"Cygnus olor";1897
"AUSTRALIA Western Australia";"Struthio camelus";1925
"AUSTRALIA Western Australia";"Pavo cristatus";1911
"AUSTRIA";"Aix galericulata";1910
"AUSTRIA";"Branta canadensis";1979
"AUSTRIA";"Branta leucopsis";1981
"AUSTRIA";"Cairina moschata";1978
"AUSTRIA";"Columba livia";1996
"AUSTRIA";"Phasianus colchicus";1414
"AUSTRIA";"Psittacula krameri";2004
"AZERBAIJAN";"Columba livia";1996
"AZERBAIJAN";"Phasianus colchicus";1998
"BAHAMAS";"Branta canadensis";2010
"BAHAMAS";"Colinus virginianus";1960
"BAHAMAS";"Columba livia";1981
"BAHAMAS";"Leptotila jamaicensis";1920
"BAHAMAS";"Mimus polyglottos";1900
"BAHAMAS";"Molothrus bonariensis";1993
"BAHAMAS";"Passer domesticus";1856
"BAHAMAS";"Pavo cristatus";1950
"BAHAMAS";"Phasianus colchicus";1960
"BAHAMAS";"Streptopelia decaocto";1973
"BAHAMAS";"Streptopelia roseogrisea";2006
"BAHAMAS";"Sturnus vulgaris";1981
"BAHAMAS";"Tiaris canorus";1960
"BAHAMAS";"Tiaris olivaceus";1966
"BAHRAIN";"Acridotheres tristis";1977
"BAHRAIN";"Alectoris chukar";2002
"BAHRAIN";"Amandava amandava";1981
"BAHRAIN";"Columba livia";1996
"BAHRAIN";"Corvus splendens";1961
"BAHRAIN";"Foudia madagascariensis";1984
"BAHRAIN";"Francolinus pondicerianus";1981
"BAHRAIN";"Lonchura malabarica";1978
"BAHRAIN";"Psittacula eupatria";1989
"BAHRAIN";"Psittacula krameri";1952
"BAHRAIN";"Pycnonotus cafer";1989
"BAHRAIN";"Pycnonotus leucogenys";1996
"BAHRAIN";"Streptopelia decaocto";1965
"BANGLADESH";"Columba livia";1996
"BARBADOS";"Columba livia";2005
"BARBADOS";"Forpus passerinus";1900
"BARBADOS";"Molothrus bonariensis";1916
"BARBADOS";"Numida meleagris";1981
"BARBADOS";"Patagioenas squamosa";1920
"BARBADOS";"Sicalis luteola";1900
"BELARUS";"Columba livia";1996
"BELARUS";"Phasianus colchicus";1998
"BELGIUM";"Aix galericulata";1953
"BELGIUM";"Alopochen aegyptiaca";1700
"BELGIUM";"Branta canadensis";1955
"BELGIUM";"Branta hutchinsii";1955
"BELGIUM";"Branta leucopsis";1983
"BELGIUM";"Chloephaga picta";1980
"BELGIUM";"Columba livia";1996
"BELGIUM";"Cygnus atratus";1889
"BELGIUM";"Myiopsitta monachus";1989
"BELGIUM";"Phasianus colchicus";1750
"BELGIUM";"Psittacula krameri";1966
"BELIZE";"Columba livia";2005
"BELIZE";"Passer domesticus";1977
"BENIN";"Columba livia";2005
"BERMUDA";"Anas platyrhynchos";1955
"BERMUDA";"Cardinalis cardinalis";1700
"BERMUDA";"Carduelis carduelis";1800
"BERMUDA";"Columba livia";1710
"BERMUDA";"Columbina passerina";1700
"BERMUDA";"Corvus brachyrhynchos";1838
"BERMUDA";"Estrilda astrild";1973
"BERMUDA";"Estrilda melpoda";1970
"BERMUDA";"Gallus gallus";2005
"BERMUDA";"Mimus polyglottos";1973
"BERMUDA";"Nyctanassa violacea";2003
"BERMUDA";"Passer domesticus";1870
"BERMUDA";"Passer montanus";2010
"BERMUDA";"Pitangus sulphuratus";1950
"BERMUDA";"Serinus canaria";1929
"BERMUDA";"Sturnus vulgaris";1950
"BERMUDA";"Tyto alba";1931
"BHUTAN";"Columba livia";1996
"BOLIVIA";"Columba livia";2003
"BOLIVIA";"Passer domesticus";1925
"BOSNIA AND HERZEGOVINA";"Columba livia";1996
"BOSNIA AND HERZEGOVINA";"Phasianus colchicus";1998
"BOTSWANA";"Acridotheres tristis";2001
"BOTSWANA";"Agapornis roseicollis";1997
"BOTSWANA";"Passer domesticus";1956
"BRAZIL";"Columba livia";1996
"BRAZIL";"Estrilda astrild";1826
"BRAZIL";"Icterus icterus";1993
"BRAZIL";"Myiopsitta monachus";1969
"BRAZIL";"Numida meleagris";2005
"BRAZIL";"Passer domesticus";1903
"BRAZIL";"Pyrrhura leucotis";1981
"BRITISH INDIAN OCEAN TERRITORY";"Acridotheres tristis";1904
"BRITISH INDIAN OCEAN TERRITORY";"Bubulcus ibis";1953
"BRITISH INDIAN OCEAN TERRITORY";"Foudia madagascariensis";1883
"BRITISH INDIAN OCEAN TERRITORY";"Gallus gallus";2005
"BRITISH INDIAN OCEAN TERRITORY";"Geopelia striata";1959
"BRITISH INDIAN OCEAN TERRITORY";"Nesoenas picturata";1959
"BRITISH INDIAN OCEAN TERRITORY";"Passer domesticus";1904
"BRITISH VIRGIN ISLANDS";"Aratinga pertinax";1800
"BRITISH VIRGIN ISLANDS";"Columba livia";2005
"BRITISH VIRGIN ISLANDS";"Mimus polyglottos";1927
"BRUNEI DARUSSALAM";"Acridotheres tristis";1998
"BRUNEI DARUSSALAM";"Padda oryzivora";1955
"BRUNEI DARUSSALAM";"Passer montanus";1955
"BRUNEI DARUSSALAM";"Pycnonotus jocosus";2005
"BULGARIA";"Branta canadensis";1983
"BULGARIA";"Columba livia";1996
"BULGARIA";"Phasianus colchicus";1998
"BURKINA FASO";"Columba livia";1996
"CAMBODIA";"Columba livia";1996
"CAMEROON";"Columba livia";1996
"CANADA Alberta";"Columba livia";1606
"CANADA Alberta";"Meleagris gallopavo";1963
"CANADA Alberta";"Mimus polyglottos";1994
"CANADA Alberta";"Passer domesticus";1899
"CANADA Alberta";"Perdix perdix";1908
"CANADA Alberta";"Phasianus colchicus";1981
"CANADA Alberta";"Sturnus vulgaris";1890
"CANADA British Columbia";"Mimus polyglottos";1994
"CANADA British Columbia";"Acridotheres cristatellus";1889
"CANADA British Columbia";"Alauda arvensis";1902
"CANADA British Columbia";"Alectoris chukar";1940
"CANADA British Columbia";"Branta canadensis";1931
"CANADA British Columbia";"Callipepla californica";1860
"CANADA British Columbia";"Colinus virginianus";1900
"CANADA British Columbia";"Dendragapus obscurus";1970
"CANADA British Columbia";"Oreortyx pictus";1860
"CANADA British Columbia";"Phasianus versicolor";1972
"CANADA British Columbia";"Columba livia";1606
"CANADA British Columbia";"Cygnus olor";1967
"CANADA British Columbia";"Meleagris gallopavo";1963
"CANADA British Columbia";"Passer domesticus";1886
"CANADA British Columbia";"Perdix perdix";1904
"CANADA British Columbia";"Phasianus colchicus";1881
"CANADA British Columbia";"Sturnus vulgaris";1945
"CANADA Manitoba";"Passer montanus";1998
"CANADA Manitoba";"Columba livia";1950
"CANADA Manitoba";"Meleagris gallopavo";1963
"CANADA Manitoba";"Passer domesticus";1939
"CANADA Manitoba";"Perdix perdix";1906
"CANADA Manitoba";"Phasianus colchicus";1925
"CANADA Manitoba";"Sturnus vulgaris";1931
"CANADA New Brunswick";"Columba livia";1950
"CANADA New Brunswick";"Passer domesticus";1885
"CANADA New Brunswick";"Perdix perdix";1959
"CANADA New Brunswick";"Phasianus colchicus";1981
"CANADA New Brunswick";"Sturnus vulgaris";1924
"CANADA Newfoundland and Labrador";"Bonasa umbellus";1956
"CANADA Newfoundland and Labrador";"Columba livia";1981
"CANADA Newfoundland and Labrador";"Passer domesticus";1939
"CANADA Newfoundland and Labrador";"Phasianus colchicus";1959
"CANADA Newfoundland and Labrador";"Sturnus vulgaris";1917
"CANADA Northwest Territories";"Columba livia";1950
"CANADA Northwest Territories";"Passer domesticus";1939
"CANADA Northwest Territories";"Sturnus vulgaris";1969
"CANADA Nova Scotia";"Columba livia";1606
"CANADA Nova Scotia";"Passer domesticus";1939
"CANADA Nova Scotia";"Perdix perdix";1959
"CANADA Nova Scotia";"Phasianus colchicus";1893
"CANADA Nova Scotia";"Sturnus vulgaris";1915
"CANADA Nunavut";"Passer domesticus";1939
"CANADA Nunavut";"Sturnus vulgaris";1969
"CANADA Ontario";"Carpodacus mexicanus";1992
"CANADA Ontario";"Columba livia";1950
"CANADA Ontario";"Cygnus olor";2004
"CANADA Ontario";"Meleagris gallopavo";1963
"CANADA Ontario";"Passer domesticus";1885
"CANADA Ontario";"Passer montanus";1998
"CANADA Ontario";"Perdix perdix";1959
"CANADA Ontario";"Phasianus colchicus";1891
"CANADA Ontario";"Sturnus vulgaris";1914
"CANADA Prince Edward Island";"Branta canadensis";2005
"CANADA Prince Edward Island";"Columba livia";1950
"CANADA Prince Edward Island";"Passer domesticus";1939
"CANADA Prince Edward Island";"Perdix perdix";1959
"CANADA Prince Edward Island";"Phasianus colchicus";1925
"CANADA Prince Edward Island";"Sturnus vulgaris";1952
"CANADA Quebec";"Carpodacus mexicanus";1992
"CANADA Quebec";"Columba livia";1950
"CANADA Quebec";"Perdix perdix";1959
"CANADA Québec";"Bonasa umbellus";1981
"CANADA Québec";"Myiopsitta monachus";1980
"CANADA Québec";"Passer domesticus";1870
"CANADA Québec";"Phasianus colchicus";1981
"CANADA Québec";"Sturnus vulgaris";1875
"CANADA Saskatchewan";"Columba livia";1950
"CANADA Saskatchewan";"Cygnus olor";1963
"CANADA Saskatchewan";"Meleagris gallopavo";1963
"CANADA Saskatchewan";"Passer domesticus";1899
"CANADA Saskatchewan";"Perdix perdix";1904
"CANADA Saskatchewan";"Phasianus colchicus";1981
"CANADA Saskatchewan";"Sturnus vulgaris";1937
"CANADA Yukon";"Columba livia";1606
"CANADA Yukon";"Passer domesticus";1939
"CANADA Yukon";"Sturnus vulgaris";1963
"CAPE VERDE";"Carduelis carduelis";1964
"CAPE VERDE";"Columba livia";1855
"CAPE VERDE";"Estrilda astrild";1865
"CAPE VERDE";"Numida meleagris";1461
"CAPE VERDE";"Passer domesticus";1922
"CAPE VERDE";"Passer hispaniolensis";1865
"CAYMAN ISLANDS";"Anas platyrhynchos";1983
"CAYMAN ISLANDS";"Columba livia";1986
"CAYMAN ISLANDS";"Gallus gallus";2005
"CAYMAN ISLANDS";"Melopsittacus undulatus";1998
"CAYMAN ISLANDS";"Myiopsitta monachus";1987
"CAYMAN ISLANDS";"Streptopelia decaocto";1998
"CAYMAN ISLANDS";"Sturnus vulgaris";1992
"CHAD";"Columba livia";1996
"CHAD";"Passer domesticus";2001
"CHILE";"Callipepla californica";1870
"CHILE";"Columba livia";1572
"CHILE";"Diuca diuca";1928
"CHILE";"Milvago chimango";1928
"CHILE";"Molothrus bonariensis";1876
"CHILE";"Myiopsitta monachus";1972
"CHILE";"Nothoprocta perdicaria";1885
"CHILE";"Passer domesticus";1904
"CHILE";"Phasianus colchicus";1914
"CHINA";"Branta canadensis";2009
"CHINA";"Columba livia";1996
"CHINA";"Padda oryzivora";1599
"CHINA";"Psittacula alexandri";2000
"CHINA";"Streptopelia decaocto";1982
"CHRISTMAS ISLAND";"Gallus gallus";1893
"CHRISTMAS ISLAND";"Padda oryzivora";1856
"CHRISTMAS ISLAND";"Passer domesticus";1993
"CHRISTMAS ISLAND";"Passer montanus";2003
"COCOS (KEELING) ISLANDS";"Gallus gallus";1950
"COCOS (KEELING) ISLANDS";"Padda oryzivora";1963
"COCOS (KEELING) ISLANDS";"Turdus poliocephalus";1885
"COCOS (KEELING) ISLANDS";"Zosterops natalis";1885
"COLOMBIA";"Anas platyrhynchos";2009
"COLOMBIA";"Columba livia";2009
"COLOMBIA";"Lonchura malacca";2010
"COLOMBIA";"Mimus gilvus";1968
"COLOMBIA";"Passer domesticus";1998
"COMOROS";"Acridotheres tristis";1905
"COMOROS";"Agapornis canus";1949
"COMOROS";"Columba livia";2003
"COMOROS";"Foudia madagascariensis";1864
"COMOROS";"Nesoenas picturata";2003
"COMOROS";"Numida meleagris";1842
"COMOROS";"Padda oryzivora";1982
"COMOROS";"Passer domesticus";1879
"COMOROS";"Streptopelia capicola";2003
"COMOROS";"Turtur tympanistria";2003
"CONGO, THE DEMOCRATIC REPUBLIC OF THE";"Passer domesticus";1975
"COOK ISLANDS";"Acridotheres tristis";1905
"COOK ISLANDS";"Columba livia";1987
"COOK ISLANDS";"Gallus gallus";990
