FirstRecord,verbatimEventDate,eventRemarks
"",modern,low confidence
"",modern,low confidence
19591976,1959 (Taiwan) 1976 (Guangdong),low confidence
19952003,1995 2003,low confidence
"",Ancient,low confidence
19681998,1960s and 1990s,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
"",No data,low confidence
