taxonID,taxon,originalNameUsage,scientificName,scientificNameAuthorship,GBIFstatus,GBIFstatus_Synonym,GBIFmatchtype,GBIFtaxonRank,GBIFusageKey,GBIFnote,species,genus,family,order,class,phylum,kingdom,taxaGroup
53,Gamochaeta purpurea,Gamochaeta purpurea (L) Cabrera,Gamochaeta purpurea (L.) Cabrera,"",ACCEPTED,"",EXACT,SPECIES,3103209,"",Gamochaeta purpurea,Gamochaeta,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
566,Gladiolus angustus,Gladiolus angustus L,Gladiolus angustus L.,"",ACCEPTED,"",EXACT,SPECIES,2749931,"",Gladiolus angustus,Gladiolus,Iridaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,Vascular plants
962,Gypsophila vaccaria,Vaccaria hispanica (Mill) Rauschert,Gypsophila vaccaria (L.) Sm.,"",SYNONYM,ACCEPTED,EXACT,SPECIES,3085320,"",Gypsophila vaccaria,Gypsophila,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
697,Hoheria populnea,Hoheria populnea NA,Hoheria populnea A.Cunn.,"",ACCEPTED,"",EXACT,SPECIES,3940089,Accepted name provided in 'alternative names' in GBIF,Hoheria populnea,Hoheria,Malvaceae,Malvales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1547,Holcus lanatus,Holcus lanatus*,Holcus lanatus L.,"",ACCEPTED,"",EXACT,SPECIES,2706164,"",Holcus lanatus,Holcus,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
961,Hymenachne amplexicaulis,Hymenachne amplexicaulis (Rudge) Nees,Hymenachne amplexicaulis (Rudge) Nees,"",ACCEPTED,"",EXACT,SPECIES,2705781,"",Hymenachne amplexicaulis,Hymenachne,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
1102,Hypolepis dicksonioides,Hypolepis dicksonioides,Hypolepis dicksonioides (Bory) Hook.,"",ACCEPTED,"",EXACT,SPECIES,5532275,"",Hypolepis dicksonioides,Hypolepis,Dennstaedtiaceae,Polypodiales,Polypodiopsida,Tracheophyta,Plantae,Vascular plants
1667,Indigofera cordifolia,Indigofera cordifolia L,Indigofera cordifolia B.Heyne ex Roth,"",ACCEPTED,"",EXACT,SPECIES,2972128,Accepted name provided in 'alternative names' in GBIF,Indigofera cordifolia,Indigofera,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1632,Iris orientalis,Iris orientalis,"","",MISSING,"","","","",Homonym in GBIF,"","","","","","","",Other
463,Jasminum multiflorum,Jasminum multiflorum,Jasminum multiflorum (Burm.f.) Andrews,"",ACCEPTED,"",EXACT,SPECIES,3172267,"",Jasminum multiflorum,Jasminum,Oleaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
