verbatim_fr,event_fr,confidence_fr
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
Before 1750,before 1750,low confidence
No data,no data,low confidence
16th-17th centuries,17,low confidence
16th - 17th centuries,16,low confidence
No data,no data,low confidence
Before 1926,before 1926,low confidence
No data,no data,low confidence
17th - 18th  centuries,18,low confidence
Before 1965,before 1965,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
No data,no data,low confidence
before 2010,before 2010,low confidence
efore 2010,efore 2010,low confidence
<1949,<1949,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1830,<1830,low confidence
<1835,<1835,low confidence
<1861,<1861,low confidence
<1861,<1861,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1900,<1900,low confidence
<1850,<1850,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1835,<1835,low confidence
<1835,<1835,low confidence
<1999,<1999,low confidence
<1999,<1999,low confidence
<1835,<1835,low confidence
<1800,<1800,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1951,<1951,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
>1972,>1972,low confidence
<1900,<1900,low confidence
ca 1985,ca 1985,low confidence
<1890,<1890,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1835,<1835,low confidence
<1800,<1800,low confidence
<1950,<1950,low confidence
<1800,<1800,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1900,<1900,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1900,<1900,low confidence
<1850,<1850,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1800,<1800,low confidence
<1850,<1850,low confidence
<1934,<1934,low confidence
<1835,<1835,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1957,<1957,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1800,<1800,low confidence
<1850,<1850,low confidence
<1858,<1858,low confidence
<1837,<1837,low confidence
<1893,<1893,low confidence
<1850,<1850,low confidence
<1800,<1800,low confidence
<2010,<2010,low confidence
<1842,<1842,low confidence
<1900,<1900,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1950,<1950,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1858,<1858,low confidence
<1834,<1834,low confidence
<1800,<1800,low confidence
<1800,<1800,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1835,<1835,low confidence
<1895,<1895,low confidence
<1835,<1835,low confidence
<1835,<1835,low confidence
<2011,<2011,low confidence
<1835,<1835,low confidence
<1900,<1900,low confidence
<1900,<1900,low confidence
ca 1975,ca 1975,low confidence
 ,"",low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
ca 1996,ca 1996,low confidence
<1850,<1850,low confidence
<1835,<1835,low confidence
<1800,<1800,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1835,<1835,low confidence
<1835,<1835,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1800,<1800,low confidence
<1800,<1800,low confidence
<1999,<1999,low confidence
<1929,<1929,low confidence
<1850,<1850,low confidence
<1950,<1950,low confidence
<1835,<1835,low confidence
<1900,<1900,low confidence
<1850,<1850,low confidence
<1858,<1858,low confidence
<1835,<1835,low confidence
<1812,<1812,low confidence
<1835,<1835,low confidence
<1835,<1835,low confidence
<1900,<1900,low confidence
<1830,<1830,low confidence
<1835,<1835,low confidence
<1835,<1835,low confidence
<1885,<1885,low confidence
<1850,<1850,low confidence
<1895,<1895,low confidence
<1850,<1850,low confidence
<1994,<1994,low confidence
<1900,<1900,low confidence
<1800,<1800,low confidence
<1835,<1835,low confidence
<1950,<1950,low confidence
<1824,<1824,low confidence
<1950,<1950,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1836,<1836,low confidence
<1836,<1836,low confidence
<1800,<1800,low confidence
<1800,<1800,low confidence
<1900,<1900,low confidence
<1900,<1900,low confidence
<1850,<1850,low confidence
<1858,<1858,low confidence
<1835,<1835,low confidence
<1835,<1835,low confidence
<1865,<1865,low confidence
<1850,<1850,low confidence
<1800,<1800,low confidence
<1868,<1868,low confidence
<1827,<1827,low confidence
<1830,<1830,low confidence
<1893,<1893,low confidence
<1858,<1858,low confidence
<1850,<1850,low confidence
<1800,<1800,low confidence
<1999,<1999,low confidence
<1899,<1899,low confidence
<1850,<1850,low confidence
<1850,<1850,low confidence
<1827,<1827,low confidence
<1835,<1835,low confidence
<1837,<1837,low confidence
<1900,<1900,low confidence
<1850,<1850,low confidence
<1900,<1900,low confidence
<1850,<1850,low confidence
<1999,<1999,low confidence
<1830,<1830,low confidence
<1835,<1835,low confidence
<1835,<1835,low confidence
<2012,<2012,low confidence
<1980,<1980,low confidence
<1997,<1997,low confidence
<1858,<1858,low confidence
<1835,<1835,low confidence
<1835,<1835,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
17634,17634,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
�nd,�nd,low confidence
19204,19204,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
2001�,2001�,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
around 1790,around 1790,low confidence
around 1899,around 1899,low confidence
around 1960,around 1960,low confidence
around,around,low confidence
around 1870,around 1870,low confidence
around 1870,around 1870,low confidence
around 1660,around 1660,low confidence
around 1870,around 1870,low confidence
around 1805,around 1805,low confidence
around 1975,around 1975,low confidence
around 1988,around 1988,low confidence
around 1884,around 1884,low confidence
in the end of 1990,in the end of 1990,low confidence
~1991,~1991,low confidence
~1991,~1991,low confidence
< 2002,< 2002,low confidence
< 1957,< 1957,low confidence
< 1999,< 1999,low confidence
< 1950s,< 1952,low confidence
<1923,<1923,low confidence
<1983,<1983,low confidence
< 1947,< 1947,low confidence
< 1991,< 1991,low confidence
< 1991,< 1991,low confidence
< 2002,< 2002,low confidence
< 2004,< 2004,low confidence
< 2006,< 2006,low confidence
< 1996,< 1996,low confidence
< 2003,< 2003,low confidence
< 1991,< 1991,low confidence
<2006,<2006,low confidence
< 2005,< 2005,low confidence
< 2005,< 2005,low confidence
< 2003,< 2003,low confidence
< 2003,< 2003,low confidence
< 2001,< 2001,low confidence
<2001,<2001,low confidence
<2005,<2005,low confidence
~ 1958,~ 1958,low confidence
< 2002 ,< 2002,low confidence
< 2001,< 2001,low confidence
< 2001,< 2001,low confidence
< 2004,< 2004,low confidence
< 2004,< 2004,low confidence
<2007,<2007,low confidence
>1900,>1900,low confidence
<1900,<1900,low confidence
>1900,>1900,low confidence
>2001,>2001,low confidence
>1990,>1990,low confidence
1953�,1953�,low confidence
< 1758 ,< 1758,low confidence
< 1758 ,< 1758,low confidence
<2004,<2004,low confidence
N/A,n/a,low confidence
N/A,n/a,low confidence
< 1912,< 1912,low confidence
< 1758 ,< 1758,low confidence
N/A,n/a,low confidence
N/A,n/a,low confidence
N/A,n/a,low confidence
<1900,<1900,low confidence
before 1949,before 1949,low confidence
end of 1970s,end of 1973,low confidence
1940�s,1940�s,low confidence
1980�s,1980�s,low confidence
1960�s,1960�s,low confidence
1990�s,1990�s,low confidence
before 1977,before 1977,low confidence
before 2009,before 2009,low confidence
before 2008,before 2008,low confidence
before 1972,before 1972,low confidence
before 2005,before 2005,low confidence
before 1943,before 1943,low confidence
before 1968,before 1968,low confidence
before 1965,before 1965,low confidence
before 1984,before 1984,low confidence
before 1978,before 1978,low confidence
before 2016,before 2016,low confidence
before 2010,before 2010,low confidence
before 2017,before 2017,low confidence
before 2016,before 2016,low confidence
before 1972,before 1972,low confidence
before 2008,before 2008,low confidence
before 2002,before 2002,low confidence
before 2017,before 2017,low confidence
before 2004,before 2004,low confidence
before 2001,before 2001,low confidence
before 2000,before 2000,low confidence
prior to 1780,prior to 1780,low confidence
before 1978,before 1978,low confidence
before 2002,before 2002,low confidence
before 1983,before 1983,low confidence
~1939,~1939,low confidence
~1933,~1933,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
before 1928,before 1928,low confidence
~1892,~1892,low confidence
<1859,<1859,low confidence
<1942,<1942,low confidence
~1909,~1909,low confidence
~1939,~1939,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
~1981,~1981,low confidence
~1907,~1907,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
~1900,~1900,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
Polynesian period (HI),polynesian period (hi),low confidence
~1869,~1869,low confidence
before 1826,before 1826,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
before 1967,before 1967,low confidence
Polynesian period (HI),polynesian period (hi),low confidence
before 1999,before 1999,low confidence
~1900,~1900,low confidence
~1908,~1908,low confidence
before 2009,before 2009,low confidence
~1930,~1930,low confidence
<1965,<1965,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
~1882,~1882,low confidence
~1900,~1900,low confidence
Polynesian period (HI),polynesian period (hi),low confidence
~1932,~1932,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
<1967,<1967,low confidence
<1959,<1959,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
~1892,~1892,low confidence
<1959,<1959,low confidence
before 2003,before 2003,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
before 1950,before 1950,low confidence
~1909,~1909,low confidence
<2000,<2000,low confidence
~1896,~1896,low confidence
before 1952,before 1952,low confidence
before October 1946,before  1946,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
<1995,<1995,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
~1916,~1916,low confidence
before 1871,before 1871,low confidence
~1898,~1898,low confidence
prior to 1873,prior to 1873,low confidence
<1924,<1924,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
before 2014,before 2014,low confidence
June 2009, 2009,low confidence
pre 2002,pre 2002,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
~1910,~1910,low confidence
~1881,~1881,low confidence
~1930,~1930,low confidence
Polynesian (Imada et al (2005)),polynesian (imada et al (2005)),low confidence
before 1963,before 1963,low confidence
before 1986,before 1986,low confidence
before 1989,before 1989,low confidence
>1885,>1885,low confidence
>1960,>1960,low confidence
<1928,<1928,low confidence
<1865,<1865,low confidence
<1954,<1954,low confidence
~1934,~1934,low confidence
before May 2013,before  2013,low confidence
<2014,<2014,low confidence
before 1960,before 1960,low confidence
before 1960,before 1960,low confidence
before 2007,before 2007,low confidence
before 2007,before 2007,low confidence
<1897,<1897,low confidence
before 1943,before 1943,low confidence
before 1886,before 1886,low confidence
before 1986,before 1986,low confidence
before 1974,before 1974,low confidence
before 1943,before 1943,low confidence
since the 1950s,since the 1951,low confidence
<1985,<1985,low confidence
approx 1620,approx 1620,low confidence
1901+-,1901+-,low confidence
before 1946,before 1946,low confidence
Norse exploration,norse exploration,low confidence
before 1962,before 1962,low confidence
approx 1620,approx 1620,low confidence
approx 1620,approx 1620,low confidence
approx 1620,approx 1620,low confidence
before 2000,before 2000,low confidence
before 1955,before 1955,low confidence
<1838,<1838,low confidence
<1995,<1995,low confidence
after the turn of the century,after the turn of the century,low confidence
approx 1620,approx 1620,low confidence
before 1957,before 1957,low confidence
before 1957,before 1957,low confidence
<1967,<1967,low confidence
<1972,<1972,low confidence
>1968,>1968,low confidence
approx 1620,approx 1620,low confidence
~1987,~1987,low confidence
<1980,<1980,low confidence
<2008,<2008,low confidence
>1950,>1950,low confidence
before 1953,before 1953,low confidence
before 1975,before 1975,low confidence
prior to 1920s,prior to 1922,low confidence
before 1862,before 1862,low confidence
<2010,<2010,low confidence
before 1957,before 1957,low confidence
<2008,<2008,low confidence
approx 1620,approx 1620,low confidence
before 1885,before 1885,low confidence
before 1919,before 1919,low confidence
<1874,<1874,low confidence
<1894,<1894,low confidence
~1994,~1994,low confidence
~1891,~1891,low confidence
<1999,<1999,low confidence
~1956,~1956,low confidence
before 1933,before 1933,low confidence
approx 1620,approx 1620,low confidence
~2000,~2000,low confidence
before 1975,before 1975,low confidence
>1878,>1878,low confidence
approx 1620,approx 1620,low confidence
approx 1620,approx 1620,low confidence
before 1939,before 1939,low confidence
before 1974,before 1974,low confidence
<1993,<1993,low confidence
before 1839,before 1839,low confidence
before 2012,before 2012,low confidence
February 1990, 1990,low confidence
fall of 2007,fall of 2007,low confidence
before 1996,before 1996,low confidence
<2011,<2011,low confidence
before 1983,before 1983,low confidence
approx 1620,approx 1620,low confidence
>1895,>1895,low confidence
September 2015, 2015,low confidence
before 1957,before 1957,low confidence
approx 1620,approx 1620,low confidence
before 1999,before 1999,low confidence
~1990,~1990,low confidence
<1833,<1833,low confidence
before 1987,before 1987,low confidence
before 2006,before 2006,low confidence
before 1960,before 1960,low confidence
before 1937,before 1937,low confidence
approx 1620,approx 1620,low confidence
prior to 1985,prior to 1985,low confidence
approx 1620,approx 1620,low confidence
<1916,<1916,low confidence
"January, 2020", 2020,low confidence
~1996,~1996,low confidence
approx 1620,approx 1620,low confidence
approx 1620,approx 1620,low confidence
before 1941,before 1941,low confidence
<1943,<1943,low confidence
approx 1620,approx 1620,low confidence
before 1900,before 1900,low confidence
<2010,<2010,low confidence
<1863,<1863,low confidence
16�17 July 1981,16,low confidence
approx 1620,approx 1620,low confidence
<2005,<2005,low confidence
<2015,<2015,low confidence
<1989,<1989,low confidence
To 1977,to 1977,low confidence
From 1981,from 1981,low confidence
To 1985,to 1985,low confidence
From 1976,from 1976,low confidence
From 1984,from 1984,low confidence
To 1990,to 1990,low confidence
To 1990,to 1990,low confidence
To 1990,to 1990,low confidence
To 1999,to 1999,low confidence
To 2007,to 2007,low confidence
To 2003,to 2003,low confidence
To 2003,to 2003,low confidence
To 2003,to 2003,low confidence
To 2003,to 2003,low confidence
To 2003,to 2003,low confidence
To 2019,to 2019,low confidence
To 2011,to 2011,low confidence
From 1989,from 1989,low confidence
To 2003,to 2003,low confidence
 ,"",low confidence
From 2001,from 2001,low confidence
From 2001,from 2001,low confidence
To 1998,to 1998,low confidence
To 2006,to 2006,low confidence
To 1988,to 1988,low confidence
To 1993,to 1993,low confidence
To 1992,to 1992,low confidence
To 1996,to 1996,low confidence
To 2018,to 2018,low confidence
To 1997,to 1997,low confidence
To 2010,to 2010,low confidence
From 2002,from 2002,low confidence
To 1983,to 1983,low confidence
To 2003,to 2003,low confidence
To 1998,to 1998,low confidence
To 1972,to 1972,low confidence
To 1986,to 1986,low confidence
To 2001,to 2001,low confidence
From 2001,from 2001,low confidence
To 2017,to 2017,low confidence
To 2016,to 2016,low confidence
To 1997,to 1997,low confidence
To 1971,to 1971,low confidence
To 1969,to 1969,low confidence
To 1996,to 1996,low confidence
To 2015,to 2015,low confidence
To 2015,to 2015,low confidence
To 1867,to 1867,low confidence
To 1822,to 1822,low confidence
To 2011,to 2011,low confidence
To 2011,to 2011,low confidence
 ,"",low confidence
To 1986,to 1986,low confidence
From 1996,from 1996,low confidence
To 1952,to 1952,low confidence
To 2002,to 2002,low confidence
To 1889,to 1889,low confidence
To 2005,to 2005,low confidence
To 2016,to 2016,low confidence
From 1864,from 1864,low confidence
To 1864,to 1864,low confidence
From 1864,from 1864,low confidence
To 1998,to 1998,low confidence
To 2016,to 2016,low confidence
From 1892,from 1892,low confidence
To 1700,to 1700,low confidence
To 1951,to 1951,low confidence
To 1901,to 1901,low confidence
To 1900,to 1900,low confidence
To 1950,to 1950,low confidence
To 1951,to 1951,low confidence
To 1942,to 1942,low confidence
From 1844,from 1844,low confidence
From 1844,from 1844,low confidence
To 2017,to 2017,low confidence
To 2013,to 2013,low confidence
From 1987,from 1987,low confidence
From 1987,from 1987,low confidence
To 1989,to 1989,low confidence
To 1985,to 1985,low confidence
To 1997,to 1997,low confidence
To 1985,to 1985,low confidence
From 1987,from 1987,low confidence
To 1922,to 1922,low confidence
To 1960,to 1960,low confidence
To 1970,to 1970,low confidence
To 2004,to 2004,low confidence
To 1998,to 1998,low confidence
To 2004,to 2004,low confidence
To 2006,to 2006,low confidence
To 1996,to 1996,low confidence
To 2007,to 2007,low confidence
From 2008,from 2008,low confidence
To 1994,to 1994,low confidence
To 2008,to 2008,low confidence
From 2001,from 2001,low confidence
To 1974,to 1974,low confidence
To 1911,to 1911,low confidence
To 1972,to 1972,low confidence
To 1904,to 1904,low confidence
To 1906,to 1906,low confidence
To 1999,to 1999,low confidence
From 2015,from 2015,low confidence
To 2010,to 2010,low confidence
From 1999,from 1999,low confidence
To 1990,to 1990,low confidence
To 1951,to 1951,low confidence
To 2018,to 2018,low confidence
To 1977,to 1977,low confidence
From 1987,from 1987,low confidence
To 1996,to 1996,low confidence
From 1987,from 1987,low confidence
To 2015,to 2015,low confidence
To 2005,to 2005,low confidence
To 2011,to 2011,low confidence
To 2008,to 2008,low confidence
To 2012,to 2012,low confidence
To 2013,to 2013,low confidence
To 2013,to 2013,low confidence
To 2010,to 2010,low confidence
To 1980,to 1980,low confidence
To 2002,to 2002,low confidence
To 1992,to 1992,low confidence
To 1978,to 1978,low confidence
To 1972,to 1972,low confidence
To 1955,to 1955,low confidence
To 1983,to 1983,low confidence
To 1974,to 1974,low confidence
To 1980,to 1980,low confidence
From 1960,from 1960,low confidence
To 2006,to 2006,low confidence
To 2000,to 2000,low confidence
To 2018,to 2018,low confidence
From 1967,from 1967,low confidence
To 2013,to 2013,low confidence
To 2003,to 2003,low confidence
To 1964,to 1964,low confidence
To 1895,to 1895,low confidence
To 2016,to 2016,low confidence
To 1927,to 1927,low confidence
From 1956,from 1956,low confidence
To 2005,to 2005,low confidence
To 2006,to 2006,low confidence
 ,"",low confidence
From 1945,from 1945,low confidence
To 2017,to 2017,low confidence
To 2005,to 2005,low confidence
From 1907,from 1907,low confidence
To 1986,to 1986,low confidence
To 1854,to 1854,low confidence
 ,"",low confidence
From 1905,from 1905,low confidence
From 1937,from 1937,low confidence
To 2007,to 2007,low confidence
To 1927,to 1927,low confidence
To 1962,to 1962,low confidence
To 1887,to 1887,low confidence
To 2013,to 2013,low confidence
To 1916,to 1916,low confidence
To 2007,to 2007,low confidence
To 2013,to 2013,low confidence
To 2003,to 2003,low confidence
To 1994,to 1994,low confidence
To 2003,to 2003,low confidence
From 1992,from 1992,low confidence
From 1997,from 1997,low confidence
From 1997,from 1997,low confidence
To 2010,to 2010,low confidence
From 1956,from 1956,low confidence
To 2008,to 2008,low confidence
To 2011,to 2011,low confidence
To 2003,to 2003,low confidence
To 2018,to 2018,low confidence
To 2013,to 2013,low confidence
To 1960,to 1960,low confidence
To 1960,to 1960,low confidence
To 2000,to 2000,low confidence
To 1919,to 1919,low confidence
From 1979,from 1979,low confidence
To 1986,to 1986,low confidence
From 1982,from 1982,low confidence
To 1999,to 1999,low confidence
To 1907,to 1907,low confidence
To 1983,to 1983,low confidence
To 1980,to 1980,low confidence
To 2006,to 2006,low confidence
From 1890,from 1890,low confidence
From 1890,from 1890,low confidence
To 1960,to 1960,low confidence
To 2003,to 2003,low confidence
To 2000,to 2000,low confidence
From 2009,from 2009,low confidence
To 2016,to 2016,low confidence
From 2004,from 2004,low confidence
To 2012,to 2012,low confidence
To 2015,to 2015,low confidence
To 2016,to 2016,low confidence
To 1971,to 1971,low confidence
To 1970,to 1970,low confidence
To 2006,to 2006,low confidence
To 2003,to 2003,low confidence
To 1989,to 1989,low confidence
From 1956,from 1956,low confidence
From 1960,from 1960,low confidence
 ,"",low confidence
To 1963,to 1963,low confidence
To 2010,to 2010,low confidence
To 2002,to 2002,low confidence
To 1931,to 1931,low confidence
To 1959,to 1959,low confidence
To 1998,to 1998,low confidence
To 2003,to 2003,low confidence
To 1997,to 1997,low confidence
To 2006,to 2006,low confidence
To 2012,to 2012,low confidence
To 2003,to 2003,low confidence
To 1912,to 1912,low confidence
To 1912,to 1912,low confidence
To 1949,to 1949,low confidence
To 1949,to 1949,low confidence
To 2003,to 2003,low confidence
To 1998,to 1998,low confidence
To 1994,to 1994,low confidence
To 1987,to 1987,low confidence
To 1998,to 1998,low confidence
To 2010,to 2010,low confidence
To 2003,to 2003,low confidence
To 2005,to 2005,low confidence
To 1892,to 1892,low confidence
To 1962,to 1962,low confidence
From 1974,from 1974,low confidence
