verbatim_fr,event_fr,confidence_fr
B,b,low confidence
M,m,low confidence
 ,"",low confidence
M,m,low confidence
 ,"",low confidence
M,m,low confidence
M,m,low confidence
 ,"",low confidence
N,n,low confidence
 ,"",low confidence
N,n,low confidence
M,m,low confidence
M,m,low confidence
M,m,low confidence
M,m,low confidence
M,m,low confidence
M,m,low confidence
M,m,low confidence
M,m,low confidence
M,m,low confidence
 ,"",low confidence
 ,"",low confidence
B,b,low confidence
 ,"",low confidence
B,b,low confidence
I,i,low confidence
I,i,low confidence
N,n,low confidence
N,n,low confidence
N,n,low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
B,b,low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
N,n,low confidence
M,m,low confidence
 ,"",low confidence
N,n,low confidence
N,n,low confidence
N,n,low confidence
B,b,low confidence
 ,"",low confidence
 ,"",low confidence
N,n,low confidence
 ,"",low confidence
M,m,low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
N,n,low confidence
N,n,low confidence
N,n,low confidence
M,m,low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
 ,"",low confidence
M,m,low confidence
<1902 ,<1902,low confidence
<1988 ,<1988,low confidence
<1940 ,<1940,low confidence
<1943 ,<1943,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
nd,nd,low confidence
